name,latitude,longitude,iata_code,mac_iata_code,country_code,continent_code,currency_code,timezone,score
Cassidy International Airport,1.98616003990173,-157.350006103516,CXI,,FR,OC,,,0.30000001192092896
Faleolo International Airport,-13.8299999237061,-172.007995605469,APW,APW,FR,OC,,Pacific/Apia,0.62599998712539673
Niue International Airport,-19.0790309906006,-169.925598144531,IUE,,FR,OC,,Pacific/Niue,0.086999997496604919
Bonriki International Airport,1.38163995742798,173.147003173828,TRW,,FR,OC,,Pacific/Tarawa,0.25099998712539673
Hihifo Airport,-13.2383003235,-176.199005127,WLS,,FR,OC,,Pacific/Wallis,0.10899999737739563
Hato International Airport,12.1888999939,-68.9598007202,CUR,,NL,,,America/Curacao,0.8529999852180481
Funafuti International Airport,-8.525,179.195999,FUN,,FR,OC,,Pacific/Funafuti,0.15899999439716339
Aitutaki Airport,-18.8309001922607,-159.764007568359,AIT,,FR,OC,,Pacific/Rarotonga,0.38400000333786011
Rarotonga International Airport,-21.2026996613,-159.805999756,RAR,,FR,OC,,Pacific/Rarotonga,0.65200001001358032
Sharjah International Airport,25.3285999298096,55.5172004699707,SHJ,,AE,AS,AED,Asia/Dubai,0.5820000171661377
Al Maktoum International Airport,24.8966666667,55.1613888889,DWC,DXB,AE,AS,AED,Asia/Dubai,0.73799997568130493
Dubai International Airport,25.2527999878,55.3643989563,DXB,DXB,AE,AS,AED,Asia/Dubai,0.92299997806549072
Ras Al Khaimah International Airport,25.6135005950928,55.9388008117676,RKT,,AE,AS,AED,Asia/Dubai,0.01
Abu Dhabi International Airport,24.4330005645752,54.6511001586914,AUH,AUH,AE,AS,AED,Asia/Dubai,0.84799998998641968
Al Ain International Airport,24.2616996765137,55.6091995239258,AAN,AAN,AE,AS,AED,Asia/Dubai,0.36000001430511475
Herat Airport,34.2099990844727,62.2282981872559,HEA,,AF,AS,AFN,Asia/Kabul,0.14100000262260437
Mazar I Sharif Airport,36.706901550293,67.2097015380859,MZR,,AF,AS,AFN,Asia/Kabul,0.34299999475479126
Kabul International Airport,34.5658988952637,69.2123031616211,KBL,,AF,AS,AFN,Asia/Kabul,0.73600000143051147
Tirana International Airport Mother Teresa,41.4146995544,19.7206001282,TIA,,AL,EU,ALL,Europe/Tirane,0.86599999666213989
Zvartnots International Airport,40.1473007202,44.3959007263,EVN,,AM,AS,AMD,Asia/Yerevan,0.83600002527236938
Quatro De Fevereiro Airport,-8.85836982727051,13.2312002182007,LAD,,AO,AF,AOA,Africa/Luanda,0.68300002813339233
Cabinda Airport,-5.59699010848999,12.1884002685547,CAB,,AO,AF,AOA,Africa/Luanda,0.14300000667572021
Nova Lisboa Airport,-12.8088998794556,15.7604999542236,NOV,,AO,AF,AOA,Africa/Luanda,0.045000001788139343
Lubango Airport,-14.9246997833252,13.5749998092651,SDD,,AO,AF,AOA,Africa/Luanda,0.18600000441074371
Soyo Airport,-6.14108991622925,12.3718004226685,SZA,,AO,AF,AOA,Africa/Luanda,0.035999998450279236
Luena Airport,-11.7680997848511,19.8976993560791,LUO,,AO,AF,AOA,Africa/Luanda,0.079000003635883331
Islas Malvinas Airport,-32.9036,-60.785,ROS,,AR,SA,ARS,America/Cordoba,0.65700000524520874
Hermes Quijada International Airport,-53.7777,-67.7494,RGA,,AR,SA,ARS,America/Cordoba,0.34400001168251038
Piloto Civil N. Fernández Airport,-51.6089,-69.3126,RGL,,AR,SA,ARS,America/Cordoba,0.421999990940094
Vicecomodoro Angel D. La Paz Aragonés Airport,-27.7655563354,-64.3099975586,SDE,,AR,SA,ARS,America/Cordoba,0.3880000114440918
Presidente Peron Airport,-38.9490013123,-68.1557006836,NQN,,AR,SA,ARS,America/Cordoba,0.5339999794960022
Formosa Airport,-26.2127,-58.2281,FMA,,AR,SA,ARS,America/Cordoba,0.27399998903274536
San Carlos De Bariloche Airport,-41.1511993408,-71.1575012207,BRC,,AR,SA,ARS,America/Cordoba,0.6940000057220459
Martin Miguel De Guemes International Airport,-24.8560009003,-65.4861984253,SLA,,AR,SA,ARS,America/Cordoba,0.64899998903274536
Cataratas Del Iguazú International Airport,-25.7373008728,-54.473400116,IGR,,AR,SA,ARS,America/Cordoba,0.6679999828338623
Domingo Faustino Sarmiento Airport,-31.5715007782,-68.4181976318,UAQ,,AR,SA,ARS,America/Cordoba,0.49000000953674316
Ministro Pistarini International Airport,-34.8222,-58.5358,EZE,BUE,AR,SA,ARS,America/Cordoba,0.94499999284744263
Teniente Benjamin Matienzo Airport,-26.8409004211,-65.1048965454,TUC,,AR,SA,ARS,America/Cordoba,0.57300001382827759
